property,def,superPropertyList
http://purl.obolibrary.org/obo/RO_0002405,,http://purl.obolibrary.org/obo/RO_0002404 http://purl.obolibrary.org/obo/RO_0002087
http://purl.obolibrary.org/obo/RO_0002085,,http://purl.obolibrary.org/obo/RO_0002088
http://purl.obolibrary.org/obo/RO_0002114,A relation between a motor neuron and a muscle that it synapses to via a type III bouton.,http://purl.obolibrary.org/obo/RO_0002120
http://purl.obolibrary.org/obo/RO_0002254,x has developmental contribution from y iff x has some part z such that z develops from y,http://purl.obolibrary.org/obo/RO_0002258
http://purl.obolibrary.org/obo/RO_0002584,s 'has part structure that is capable of' p if and only if there exists some part x such that s 'has part' x and x 'capable of' p,http://purl.obolibrary.org/obo/RO_0002595 http://purl.obolibrary.org/obo/RO_0002328
http://purl.obolibrary.org/obo/RO_0002357,"p results in developmental induction of c if and only if p is a collection of cell-cell signaling processes that signal to a neighbouring tissue that is the precursor of the mature c, where the signaling results in the commitment to cell types necessary for the formation of c.",http://purl.obolibrary.org/obo/RO_0002295
http://purl.obolibrary.org/obo/RO_0002332,p regulates levels of c if p regulates some amount (PATO:0000070) of c,http://purl.obolibrary.org/obo/RO_0002328
http://purl.obolibrary.org/obo/RO_0002449,Holds between molecules a and b if and only if a executes a process that directly diminishes a process executed by b.,http://purl.obolibrary.org/obo/RO_0002448
http://purl.obolibrary.org/obo/RO_HOM0000003,Similarity that is characterized by the organization of anatomical structures through the expression of homologous or identical patterning genes.,http://purl.obolibrary.org/obo/RO_HOM0000000 http://purl.obolibrary.org/obo/RO_0002320
http://purl.obolibrary.org/obo/RO_0002112,Relation between a muscle and a motor neuron that synapses to it via a type Is bouton.,http://purl.obolibrary.org/obo/RO_0002103
http://purl.obolibrary.org/obo/RO_0002400,"p has direct input c iff c is a participant in p, c is present at the start of p, and the state of c is modified during p.",http://purl.obolibrary.org/obo/RO_0002233
http://purl.obolibrary.org/obo/RO_0002616,,
http://purl.obolibrary.org/obo/RO_0002003,A relation that holds between two neurons that are electrically coupled via gap junctions.,http://purl.obolibrary.org/obo/RO_0000300
http://purl.obolibrary.org/obo/RO_0002086,,http://purl.obolibrary.org/obo/RO_0002222
http://purl.obolibrary.org/obo/RO_0002472,"A relationship between a piece of evidence a and some entity b, where b is  an information content entity, material entity or process, and 
the a supports either the existence of b, or the truth value of b.",http://purl.obolibrary.org/obo/RO_0002616
http://purl.obolibrary.org/obo/RO_0002340,"Holds between p and c when p is a transportation or localization process and the outcome of this process is to move c to a destination that is part of some s, where the start location of c is part of the region that surrounds s.",http://purl.obolibrary.org/obo/RO_0002313
http://purl.obolibrary.org/obo/RO_0002479,"p has part that occurs in c if and only if there exists some p1, such that p has_part p1, and p1 occurs in c.",
http://purl.obolibrary.org/obo/RO_HOM0000001,Similarity that results from common evolutionary origin.,http://purl.obolibrary.org/obo/RO_0002158 http://purl.obolibrary.org/obo/RO_HOM0000000
http://purl.obolibrary.org/obo/RO_0002342,"Holds between p and m when p is a transportation or localization process and the outcome of this process is to move c from one location to another, and the route taken by c follows a path that crosses m.",http://purl.obolibrary.org/obo/RO_0002344
http://purl.obolibrary.org/obo/RO_0002404,inverse of upstream of,http://purl.obolibrary.org/obo/BFO_0000062 http://purl.obolibrary.org/obo/RO_0002427
http://purl.obolibrary.org/obo/RO_0002508,,http://purl.obolibrary.org/obo/RO_0002566
http://purl.obolibrary.org/obo/RO_0002100,Relation between a neuron and an anatomical structure that its soma is part of.,http://purl.obolibrary.org/obo/RO_0002131
http://purl.obolibrary.org/obo/RO_0002228,A sub-relations of parasite-of in which the parasite that can complete its life cycle independent of a host.,http://purl.obolibrary.org/obo/RO_0002444
http://purl.obolibrary.org/obo/RO_0002102,Relation between a neuron and some structure its axon forms (chemical) synapses in.,http://purl.obolibrary.org/obo/RO_0002113
http://purl.obolibrary.org/obo/RO_0002431,c involved in or regulates p if and only if either (i) c is involved in p or (ii) c is involved in regulation of p,http://purl.obolibrary.org/obo/RO_0002328 http://purl.obolibrary.org/obo/RO_0002500
http://purl.obolibrary.org/obo/RO_0002083,,http://purl.obolibrary.org/obo/RO_0002081
http://purl.obolibrary.org/obo/RO_0002375,"A relationship that holds between two material entities in a system of connected structures, where the branching relationship holds based on properties of the connecting network.",http://purl.obolibrary.org/obo/BFO_0000050 http://purl.obolibrary.org/obo/RO_0002323
http://purl.obolibrary.org/obo/RO_0002524,x has subsequence y iff all of the sequence parts of x are sequence parts of y,http://purl.obolibrary.org/obo/BFO_0000051 http://purl.obolibrary.org/obo/RO_0002522 http://purl.obolibrary.org/obo/RO_0002526
http://purl.obolibrary.org/obo/RO_0002386,x has potential to developmentally induce y iff x developmentally induces y or x is capable of developmentally inducing y,http://purl.obolibrary.org/obo/RO_0002384
http://purl.obolibrary.org/obo/RO_0002516,"x has start sequence y if the start of x is identical to the start of y, and x has y as a subsequence",http://purl.obolibrary.org/obo/RO_0002524
http://purl.obolibrary.org/obo/RO_0002408,,http://purl.obolibrary.org/obo/RO_0002630
http://purl.obolibrary.org/obo/RO_0002291,"x is ubiquitously expressed in y if and only if x is expressed in y, and the majority of cells in y express x",http://purl.obolibrary.org/obo/RO_0002206
http://purl.obolibrary.org/obo/RO_0002626,,http://purl.obolibrary.org/obo/RO_0002574
http://purl.obolibrary.org/obo/RO_HOM0000051,Paedomorphosis that is produced by delayed growth of immature structures into the adult form.,http://purl.obolibrary.org/obo/RO_HOM0000029
http://purl.obolibrary.org/obo/RO_HOM0000036,Historical homology that involves two members of a larger set of homologs.,http://purl.obolibrary.org/obo/RO_HOM0000007
http://purl.obolibrary.org/obo/RO_0002084,,http://purl.obolibrary.org/obo/RO_0002222
http://purl.obolibrary.org/obo/RO_0002597,"Holds between c and p if and only if c is capable of some activity a, and a negatively regulates p.",http://purl.obolibrary.org/obo/RO_0002596
http://purl.obolibrary.org/obo/RO_0002436,An interaction relationship in which the two partners are molecular entities and are executing molecular processes that are directly causally connected.,http://purl.obolibrary.org/obo/RO_0002434
http://purl.obolibrary.org/obo/RO_0002409,,http://purl.obolibrary.org/obo/RO_0002212
http://purl.obolibrary.org/obo/RO_0002176,"c connects a if and only if there exist some b such that a and b are similar parts of the same system, and c connects b, specifically, c connects a with b. When one structure connects two others it unites some aspect of the function or role they play within the system.",http://purl.obolibrary.org/obo/RO_0002323
http://purl.obolibrary.org/obo/RO_HOM0000065,Similarity that is characterized by interchangeability in function.,http://purl.obolibrary.org/obo/RO_HOM0000000
http://purl.obolibrary.org/obo/RO_0002627,,http://purl.obolibrary.org/obo/RO_0002574
http://purl.obolibrary.org/obo/RO_0002331,"c involved_in p if and only if c enables some process p', and p' is part of p",http://purl.obolibrary.org/obo/RO_0002431
http://purl.obolibrary.org/obo/RO_0002506,,http://purl.obolibrary.org/obo/RO_0002410
http://purl.obolibrary.org/obo/RO_0002639,,http://purl.obolibrary.org/obo/RO_0002635
http://purl.obolibrary.org/obo/RO_0002500,A relationship between a material entity and a process where the material entity has some causal role that influences the process,http://purl.obolibrary.org/obo/RO_0002595
http://purl.obolibrary.org/obo/RO_0002330,"holds between two entities when some genome-level process such as gene expression is involved. This includes transcriptional, spliceosomal events. These relations can be used between either macromolecule entities (such as regions of nucleic acid) or between their abstract informational counterparts.",
http://purl.obolibrary.org/obo/RO_0002089,,http://purl.obolibrary.org/obo/RO_0002222
http://purl.obolibrary.org/obo/RO_0002596,"Holds between c and p if and only if c is capable of some activity a, and a regulates p.",http://purl.obolibrary.org/obo/RO_0002500
http://purl.obolibrary.org/obo/RO_0002356,"The relationship linking a cell and its participation in a process that results in the fate of the cell being specified. Once specification has taken place, a cell will be committed to differentiate down a specific pathway if left in its normal environment. ",http://purl.obolibrary.org/obo/RO_0002295
http://purl.obolibrary.org/obo/RO_0001022,"A relation between a condition (a phenotype or disease) of a host and a material entity, in which the material entity is not part of the host, and is considered harmless to non-allergic hosts, and the condition results in pathological processes that include an abnormally strong immune response against the material entity.",http://purl.obolibrary.org/obo/RO_0003302
http://purl.obolibrary.org/obo/RO_0002503,"q towards e2 if and only if q is a relational quality such that q inheres-in some e, and e != e2 and q is dependent on e2",http://purl.obolibrary.org/obo/RO_0002502
http://purl.obolibrary.org/obo/RO_0002518,"x has end sequence y if the end of x is identical to the end of y, and x has y as a subsequence",http://purl.obolibrary.org/obo/RO_0002524
http://purl.obolibrary.org/obo/RO_0002349,"p 'results in determination of' c if and only if p is a developmental process and c is a cell and p results in the state of c changing to be determined. Once a cell becomes determined, it becomes committed to differentiate down a particular pathway regardless of its environment.",http://purl.obolibrary.org/obo/RO_0002295
http://purl.obolibrary.org/obo/RO_HOM0000063,Historical homology that involves orthologous pairs of interacting molecules in different organisms.,http://purl.obolibrary.org/obo/RO_HOM0000007
http://purl.obolibrary.org/obo/RO_HOM0000053,"Xenology that results, not from the transfer of a gene between two species, but from a hybridization of two species.",http://purl.obolibrary.org/obo/RO_HOM0000018
http://purl.obolibrary.org/obo/RO_HOM0000072,Biological homology that involves an ectopic structure and the normally positioned structure.,http://purl.obolibrary.org/obo/RO_HOM0000008
http://purl.obolibrary.org/obo/RO_0002314,q inheres in part of w if and only if there exists some p such that q inheres in p and p part of w.,http://purl.obolibrary.org/obo/RO_0002502
http://purl.obolibrary.org/obo/RO_0002522,"x bounds the sequence of y iff the upstream-most part of x is upstream of or coincident with the upstream-most part of y, and the downstream-most part of x is downstream of or coincident with the downstream-most part of y",http://purl.obolibrary.org/obo/RO_0002514
http://purl.obolibrary.org/obo/RO_0002323,A mereological relationship or a topological relationship,
http://purl.obolibrary.org/obo/RO_0002411,p is causally upstream of q if and only if p precedes q and p and q are linked in a causal chain,http://purl.obolibrary.org/obo/BFO_0000063 http://purl.obolibrary.org/obo/RO_0002418
http://purl.obolibrary.org/obo/BFO_0000062,"x is preceded by y if and only if the time point at which y ends is before or equivalent to the time point at which x starts. Formally: x preceded by y iff ω(y) <= α(x), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point.",http://purl.obolibrary.org/obo/RO_0002086
http://purl.obolibrary.org/obo/RO_0002212,"x negatively regulates y if and only if the progression of x reduces the frequency, rate or extent of y",http://purl.obolibrary.org/obo/RO_0002211
http://purl.obolibrary.org/obo/RO_0002296,p 'results in development of' c if and only if p is a developmental process and p results in the state of c changing from its initial state as a primordium or anlage through its mature state and to its final state.,http://purl.obolibrary.org/obo/RO_0000057 http://purl.obolibrary.org/obo/RO_0002295
http://purl.obolibrary.org/obo/RO_0002163,A is spatially_disjoint_from B if and only if they have no parts in common,http://purl.obolibrary.org/obo/RO_0002323
http://purl.obolibrary.org/obo/RO_HOM0000032,Paedomorphosis that is produced by a retardation of somatic development.,http://purl.obolibrary.org/obo/RO_HOM0000029
http://purl.obolibrary.org/obo/RO_0002385,x has potential to developmentrally contribute to y iff x developmentally contributes to y or x is capable of developmentally contributing to y,http://purl.obolibrary.org/obo/RO_0002384
http://purl.obolibrary.org/obo/RO_0002614,A relationship between a piece of evidence and an entity that plays a role in supporting that evidence.,http://purl.obolibrary.org/obo/RO_0002616
http://purl.obolibrary.org/obo/RO_0002528,inverse of downstream of sequence of,http://purl.obolibrary.org/obo/RO_0002527
http://purl.obolibrary.org/obo/RO_HOM0000010,Structural homology that is detected by similarity in content and organization between chromosomes.,http://purl.obolibrary.org/obo/RO_HOM0000006
http://purl.obolibrary.org/obo/RO_0002438,An interaction relationship in which the partners are related via a feeding relationship.,http://purl.obolibrary.org/obo/RO_0002574
http://purl.obolibrary.org/obo/RO_0002087,,http://purl.obolibrary.org/obo/BFO_0000062
http://purl.obolibrary.org/obo/RO_HOM0000073,Synology that results from allopolyploidy.,http://purl.obolibrary.org/obo/RO_HOM0000053 http://purl.obolibrary.org/obo/RO_HOM0000022
http://purl.obolibrary.org/obo/RO_0002179,"Relation between an collecting structure and another structure, where the collecting structure acts as a conduit channeling fluid, substance or energy away from the other structure.",http://purl.obolibrary.org/obo/RO_0002170
http://purl.obolibrary.org/obo/RO_0003301,"Relation between a research artifact and an entity it is used to study, in virtue of its replicating or approximating features of the studied entity.",
http://purl.obolibrary.org/obo/RO_0000092,,http://purl.obolibrary.org/obo/RO_0000052
http://purl.obolibrary.org/obo/RO_0002495,"x immediate transformation of y iff x immediately succeeds y temporally at a time boundary t, and all of the matter present in x at t is present in y at t, and all the matter in y at t is present in x at t",http://purl.obolibrary.org/obo/RO_0002207 http://purl.obolibrary.org/obo/RO_0002494 http://purl.obolibrary.org/obo/RO_0002087
http://purl.obolibrary.org/obo/RO_0002286,Inverse of developmentally preceded by,http://purl.obolibrary.org/obo/RO_0002384
http://purl.obolibrary.org/obo/RO_0002618,,http://purl.obolibrary.org/obo/RO_0002574
http://purl.obolibrary.org/obo/RO_0002493,x existence ends with y if and only if the time point at which x ends is equivalent to the time point at which y ends. Formally: x existence ends with y iff ω(x) = ω(y).,http://purl.obolibrary.org/obo/RO_0002492
http://purl.obolibrary.org/obo/RO_0002388,x has potential to directly develop into y iff x directly develops into y or x is capable of directly developing into y,http://purl.obolibrary.org/obo/RO_0002387
http://purl.obolibrary.org/obo/RO_0002008,A relation that holds between two linear structures that are approximately parallel to each other for their entire length and where either the two structures are adjacent to each other or one is part of the other.,http://purl.obolibrary.org/obo/RO_0002323
http://purl.obolibrary.org/obo/RO_0002570,"x is a conduit for y iff y overlaps through the lumen_of of x, and y has parts on either side of the lumen of x.",http://purl.obolibrary.org/obo/RO_0002131
http://purl.obolibrary.org/obo/RO_0002553,x is a hyperparasite of y iff x is a parasite of a parasite of the target organism y,http://purl.obolibrary.org/obo/RO_0002454
http://purl.obolibrary.org/obo/RO_0002229,inverse of ends with,http://purl.obolibrary.org/obo/BFO_0000050 http://purl.obolibrary.org/obo/RO_0002222
http://purl.obolibrary.org/obo/RO_0002630,"p 'directly negatively regulates' q if and only if p and q are processes, and p negatively regulates q, and q directly follows from p",http://purl.obolibrary.org/obo/RO_0002212 http://purl.obolibrary.org/obo/RO_0002578
http://purl.obolibrary.org/obo/RO_0002372,"m has_muscle_origin s iff m is attached_to s, and it is the case that when m contracts, s does not move. The site of the origin tends to be more proximal and have greater mass than what the other end attaches to.",http://purl.obolibrary.org/obo/RO_0002371 http://purl.obolibrary.org/obo/RO_0002567
http://purl.obolibrary.org/obo/RO_0002088,,http://purl.obolibrary.org/obo/RO_0002222
http://purl.obolibrary.org/obo/RO_0002606,"c is a substance that treats d if c is a material entity (such as a small molecule or compound) and d is a pathological process, phenotype or disease, and c is capable of some activity that negative regulates or decreases the magnitude of d.",http://purl.obolibrary.org/obo/RO_0002599
http://purl.obolibrary.org/obo/RO_0002107,A relation between a motor neuron and a muscle that it synapses to via a type II bouton.,http://purl.obolibrary.org/obo/RO_0002120
http://purl.obolibrary.org/obo/RO_0002180,"w 'has component' p if w 'has part' p and w is such that it can be directly disassembled into into n parts p, p2, p3, ..., pn, where these parts are of similar type.",http://purl.obolibrary.org/obo/BFO_0000051
http://purl.obolibrary.org/obo/RO_0002497,x existence ends during or before y if and only if the time point at which x ends is before or equivalent to the time point at which y ends.,http://purl.obolibrary.org/obo/RO_0002487
http://purl.obolibrary.org/obo/RO_HOM0000007,Homology that is defined by common descent.,http://purl.obolibrary.org/obo/RO_HOM0000001
http://purl.obolibrary.org/obo/RO_0002619,,http://purl.obolibrary.org/obo/RO_0002574
http://purl.obolibrary.org/obo/RO_HOM0000025,"1:many orthology that involves a gene in species A and one of its ortholog in species B, when duplications more recent than the species split have occurred in species B but not in species A.",http://purl.obolibrary.org/obo/RO_HOM0000034
http://purl.obolibrary.org/obo/RO_0002450,Holds between molecules a and b if and only if a executes a process that directly activates a process executed by b.,http://purl.obolibrary.org/obo/RO_0002448
http://purl.obolibrary.org/obo/RO_HOM0000074,"Iterative homology that involves two structures, one of which originated as a duplicate of the other and co-opted the expression of patterning genes of the ancestral structure.",http://purl.obolibrary.org/obo/RO_HOM0000066 http://purl.obolibrary.org/obo/RO_HOM0000003
http://purl.obolibrary.org/obo/RO_0002501,"p is causally related to q if and only if p or any part of p and q or any part of q are linked by a chain of events where each event pair is one of direct activation or direct inhibition. p may be upstream, downstream, part of or a container of q.",http://purl.obolibrary.org/obo/RO_0002410
http://purl.obolibrary.org/obo/RO_0002360,,http://purl.obolibrary.org/obo/RO_0002131
http://purl.obolibrary.org/obo/RO_0002478,A child nucleus relationship in which the cells are part of a male organism,http://purl.obolibrary.org/obo/RO_0002476
http://purl.obolibrary.org/obo/RO_0002481,,http://purl.obolibrary.org/obo/RO_0002564
http://purl.obolibrary.org/obo/RO_HOM0000015,"Structural homology that is detected at the level of the 3D protein structure, but maybe not at the level of the amino acid sequence.",http://purl.obolibrary.org/obo/RO_HOM0000006
http://purl.obolibrary.org/obo/RO_0002287,,http://purl.obolibrary.org/obo/RO_0002286
http://purl.obolibrary.org/obo/RO_0002293,inverse of ubiquiotously expressed in,http://purl.obolibrary.org/obo/RO_0002292
http://purl.obolibrary.org/obo/RO_HOM0000049,Paralogy that involves genes from the same species.,http://purl.obolibrary.org/obo/RO_HOM0000011
http://purl.obolibrary.org/obo/RO_0002590,,http://purl.obolibrary.org/obo/RO_0002592 http://purl.obolibrary.org/obo/RO_0002586
http://purl.obolibrary.org/obo/RO_HOM0000000,Relation between biological objects that resemble or are related to each other sufficiently to warrant a comparison.,
http://purl.obolibrary.org/obo/RO_HOM0000054,Orthology that involves functional equivalent genes with retention of the ancestral function.,http://purl.obolibrary.org/obo/RO_HOM0000062 http://purl.obolibrary.org/obo/RO_HOM0000017
http://purl.obolibrary.org/obo/RO_0002232,x 'has end location' y if and only if there exists some process z such that x 'ends with' z and z 'occurs in' y,http://purl.obolibrary.org/obo/RO_0002479
http://purl.obolibrary.org/obo/RO_HOM0000062,Historical homology that involves functional equivalent genes with retention of the ancestral function.,http://purl.obolibrary.org/obo/RO_HOM0000007 http://purl.obolibrary.org/obo/RO_HOM0000065
http://purl.obolibrary.org/obo/RO_0002482,,http://purl.obolibrary.org/obo/RO_0002564
http://purl.obolibrary.org/obo/RO_0002470,,http://purl.obolibrary.org/obo/RO_0002438
http://purl.obolibrary.org/obo/RO_0002591,,http://purl.obolibrary.org/obo/RO_0002233 http://purl.obolibrary.org/obo/RO_0002592
http://purl.obolibrary.org/obo/RO_HOM0000047,Historical homology that involves the chromosomes able to pair (synapse) during meiosis.,http://purl.obolibrary.org/obo/RO_HOM0000007
http://purl.obolibrary.org/obo/RO_HOM0000075,Historical homology that involves orthologous pairs of transcription factors and downstream regulated genes in different organisms.,http://purl.obolibrary.org/obo/RO_HOM0000007
